,decyear,east(m),north(m),up(m)
402,2021.1472,0.707246,0.955538,0.145423
403,2021.1499,0.707249,0.956049,0.151073
404,2021.1526,0.707394,0.955413,0.144535
405,2021.1554,0.707907,0.956364,0.149494
406,2021.1581,0.706427,0.956287,0.149786
407,2021.1608,0.706427,0.956167,0.144867
408,2021.1636,0.706061,0.955697,0.145242
409,2021.1663,0.707289,0.957239,0.146387
410,2021.1691,0.707665,0.955676,0.149471
411,2021.1718,0.707194,0.95581,0.139963
412,2021.1745,0.709337,0.958152,0.137536
413,2021.1773,0.709621,0.957942,0.141047
414,2021.18,0.71052,0.95675,0.134121
415,2021.1828,0.708303,0.956144,0.135092
416,2021.1855,0.708071,0.957795,0.13493
417,2021.1882,0.710393,0.958005,0.137864
418,2021.191,0.709487,0.956272,0.135524
419,2021.1937,0.710824,0.954925,0.133066
420,2021.1964,0.710337,0.95631,0.135045
421,2021.1992,0.707193,0.958017,0.135176
422,2021.2019,0.708765,0.958908,0.135532
423,2021.2047,0.708064,0.957074,0.13495
424,2021.2074,0.70854,0.956998,0.135586
425,2021.2101,0.707506,0.955969,0.134556
426,2021.2129,0.707872,0.956869,0.136983
427,2021.2156,0.707778,0.957694,0.134197
428,2021.2183,0.706238,0.956606,0.135041
429,2021.2211,0.707515,0.959238,0.131097
430,2021.2238,0.707212,0.957168,0.13399
431,2021.2266,0.706945,0.958186,0.133867
432,2021.2293,0.706592,0.957451,0.137922
433,2021.232,0.706746,0.959223,0.13649
434,2021.2348,0.706944,0.958899,0.130017
435,2021.2375,0.707547,0.958616,0.132213
436,2021.2402,0.708493,0.957475,0.133585
437,2021.243,0.706685,0.957707,0.132863
438,2021.2457,0.707202,0.958837,0.128733
439,2021.2485,0.709279,0.957696,0.124818
440,2021.2512,0.708617,0.958233,0.131892
441,2021.2539,0.709629,0.959243,0.12492
442,2021.2567,0.709912,0.959298,0.125665
443,2021.2594,0.70998,0.956912,0.128451
444,2021.2621,0.70972,0.958309,0.128331
445,2021.2649,0.708975,0.958528,0.125552
